,Jobs,Application Links,Post Date,Location,Closed Date,Status
119,Supply Chain - Planning Internship (Summer 2021),https://www.tesla.com/careers/search/job/supply-chain-planning-internship-summer-2021-75794,10/30/2020,U.S,As Soon As Possible,OPEN
120,Manufacturing - Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-engineering-internship-summer-2021-75776,10/30/2020,U.S,As Soon As Possible,OPEN
121,Supply Chain - Industrial Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/supply-chain-industrial-engineering-internship-summer-2021-75798,10/30/2020,U.S,As Soon As Possible,OPEN
122,Supply Chain - Purchasing Internship (Summer 2021),https://www.tesla.com/careers/search/job/supply-chain-purchasing-internship-summer-2021-75793,10/30/2020,U.S,As Soon As Possible,OPEN
123,Software - Full Stack Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-full-stack-engineering-internship-summer-2021-75432,10/30/2020,U.S,As Soon As Possible,OPEN
124,Vehicle Hardware - Silicon Development Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-silicon-development-engineering-internship-summer-2021-75801,10/30/2020,U.S,As Soon As Possible,OPEN
125,HR & People Teams Internship (Summer 2021),https://www.tesla.com/careers/search/job/hr-people-teams-internship-summer-2021-75769,10/30/2020,U.S,As Soon As Possible,OPEN
126,Software - Applications Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-applications-engineering-internship-summer-2021-75789,10/30/2020,U.S,As Soon As Possible,OPEN
127,Energy - Global Business Development Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-global-business-development-internship-summer-2021-75754,10/30/2020,U.S,As Soon As Possible,OPEN
128,Vehicle Engineering - Integration & Attributes Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-integration-attributes-internship-summer-2021-75623,10/30/2020,U.S,As Soon As Possible,OPEN
129,Supply Chain - Logistics Internship (Summer 2021),https://www.tesla.com/careers/search/job/supply-chain-logistics-internship-summer-2021-75795,10/30/2020,U.S,As Soon As Possible,OPEN
130,Energy Service - Mechanical Design Engineer Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-service-mechanical-design-engineer-internship-summer-2021-75760,10/30/2020,U.S,As Soon As Possible,OPEN
131,Manufacturing - Quality Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-quality-engineering-internship-summer-2021-75783,10/30/2020,U.S,As Soon As Possible,OPEN
132,Software - Embedded Systems Engineering Internship (Spring 2021),https://www.tesla.com/careers/search/job/software-embedded-systems-engineering-internship-spring-2021-68850,08/26/2020,U.S,As Soon As Possible,OPEN
133,Energy – Electrical Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-electrical-engineering-internship-summer-2021-75757,10/30/2020,U.S,As Soon As Possible,OPEN
134,Software - QA Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-qa-engineering-internship-summer-2021-75436,10/30/2020,U.S,As Soon As Possible,OPEN
135,"Finance - Planning, Analysis, & Operations Internship (Summer 2021)",https://www.tesla.com/careers/search/job/finance-planning-analysis-operations-internship-summer-2021-70901,09/28/2020,U.S,As Soon As Possible,OPEN
