,Jobs,Application Links,Location,Post Date,Closed Date,Status
127,Beauty Advisor,https://jobs.sephora.com/USA/job/Stamford-CT-06901/702290000/,"Stamford, CT, US, 06901","Jan 2, 2021",As soon as possible,Open
128,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Katy-TX-77494/702434800/,"Katy, TX, US, 77494","Jan 4, 2021",As soon as possible,Open
129,Temporary Beauty Advisor,https://jobs.sephora.com/USA/job/Ridgeland-MS-39157/682509900/,"Ridgeland, MS, US, 39157","Jan 6, 2021",As soon as possible,Open
130,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Grandville-MI-49418/702428200/,"Grandville, MI, US, 49418","Jan 4, 2021",As soon as possible,Open
131,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Orland-Park-IL-60462/702412100/,"Orland Park, IL, US, 60462","Jan 4, 2021",As soon as possible,Open
132,Beauty Advisor,https://jobs.sephora.com/USA/job/Bridgewater-NJ-08807/701433700/,"Bridgewater, NJ, US, 08807","Dec 27, 2020",As soon as possible,Open
133,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Tallahassee-FL-32301/701730100/,"Tallahassee, FL, US, 32301","Dec 29, 2020",As soon as possible,Open
134,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Lansing-Assistant-Manager%2C-Client-Experience-MI-48912/682258700/,"Lansing, MI, US, 48912","Jan 10, 2021",As soon as possible,Open
135,Temporary Beauty Advisor,https://jobs.sephora.com/USA/job/Las-Vegas-Temporary-Beauty-Advisor-NV-89052/698750900/,"Las Vegas, NV, US, 89052","Jan 10, 2021",As soon as possible,Open
136,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Fresno-Assistant-Manager%2C-Client-Services-CA-93710/698939100/,"Fresno, CA, US, 93710","Jan 12, 2021",As soon as possible,Open
137,Beauty Advisor,https://jobs.sephora.com/USA/job/Willow-Grove-Beauty-Advisor-PA-19090/697265300/,"Willow Grove, PA, US, 19090","Jan 5, 2021",As soon as possible,Open
138,Cash Wrap Coordinator,https://jobs.sephora.com/USA/job/Fairfax-Cash-Wrap-Coordinator-VA-22102/699364600/,"Fairfax, VA, US, 22102","Jan 13, 2021",As soon as possible,Open
139,Beauty Advisor,https://jobs.sephora.com/USA/job/Norwalk-CT-06854/681785700/,"Norwalk, CT, US, 06854","Jan 2, 2021",As soon as possible,Open
140,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Tampa-Assistant-Manager%2C-Client-Experience-FL-33543/703510600/,"Tampa, FL, US, 33543","Jan 7, 2021",As soon as possible,Open
141,Beauty Advisor,https://jobs.sephora.com/USA/job/Edina-MN-55435/684508000/,"Edina, MN, US, 55435","Jan 13, 2021",As soon as possible,Open
142,Store Director,https://jobs.sephora.com/USA/job/Baltimore-Store-Director-MD-21202/704723400/,"Baltimore, MD, US, 21202","Jan 12, 2021",As soon as possible,Open
143,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Boston-Assistant-Manager%2C-Client-Services-MA-02215/706921800/,"Boston, MA, US, 02215","Jan 20, 2021",As soon as possible,Open
144,Beauty Advisor,https://jobs.sephora.com/USA/job/Clinton-Township-Beauty-Advisor-MI-48038/706967400/,"Clinton Township, MI, US, 48038","Jan 20, 2021",As soon as possible,Open
145,Beauty Advisor,https://jobs.sephora.com/USA/job/Honolulu-Beauty-Advisor-HI-96816/705998900/,"Honolulu, HI, US, 96816","Jan 15, 2021",As soon as possible,Open
146,Beauty Advisor,https://jobs.sephora.com/USA/job/Honolulu-HI-96816/707151200/,"Honolulu, HI, US, 96816","Jan 20, 2021",As soon as possible,Open
147,Beauty Advisor,https://jobs.sephora.com/USA/job/Wichita-Beauty-Advisor-KS-67206/703183700/,"Wichita, KS, US, 67206","Jan 6, 2021",As soon as possible,Open
148,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Englishtown-Assistant-Manager%2C-Client-Experience-NJ-07726/704860400/,"Englishtown, NJ, US, 07726","Jan 12, 2021",As soon as possible,Open
149,Beauty Advisor,https://jobs.sephora.com/USA/job/Canton-Beauty-Advisor-CT-06019/706884800/,"Canton, CT, US, 06019","Jan 20, 2021",As soon as possible,Open
150,Beauty Advisor,https://jobs.sephora.com/USA/job/Harrisburg-Beauty-Advisor-PA-17110/707078400/,"Harrisburg, PA, US, 17110","Jan 20, 2021",As soon as possible,Open
151,Temporary Beauty Advisor,https://jobs.sephora.com/USA/job/Troy-Temporary-Beauty-Advisor-MI-48084/707117400/,"Troy, MI, US, 48084","Jan 20, 2021",As soon as possible,Open
152,Cash Wrap Coordinator,https://jobs.sephora.com/USA/job/Glendale-Cash-Wrap-Coordinator-CA-91210/707138000/,"Glendale, CA, US, 91210","Jan 20, 2021",As soon as possible,Open
153,Beauty Advisor,https://jobs.sephora.com/USA/job/Augusta-Beauty-Advisor-GA-30909/707099600/,"Augusta, GA, US, 30909","Jan 20, 2021",As soon as possible,Open
154,Beauty Advisor,https://jobs.sephora.com/USA/job/Mesa-Beauty-Advisor-AZ-85204/706780600/,"Mesa, AZ, US, 85204","Jan 19, 2021",As soon as possible,Open
155,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Torrance-Assistant-Manager%2C-Client-Services-CA-90505/700997900/,"Redondo Beach, CA, US, 90505","Jan 21, 2021",As soon as possible,Open
156,Store Director,https://jobs.sephora.com/USA/job/Glendale-AZ-85308/700998200/,"Glendale, AZ, US, 85308","Jan 21, 2021",As soon as possible,Open
